gene	List1	List10	List11	List12	List13	List14	List15	List16	List17	List18	List19	List2	List20	List21	List22	List23	List24	List25	List26	List27	List28	List29	List3	List30	List31	List32	List4	List5	List6	List7	List8	List9	maic_score	contributors
entity8	0.0	1.5438502924166337	3.842312744428135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	6.49819494452438	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	6.002627852802243	5.0918766409508756	0.0	0.0	0.0	5.6941931138673265	47.56889450144994	CATEGORY4: List4, CATEGORY5: List5, CATEGORY9: List9, CATEGORY10: List10, CATEGORY11: List11, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY27: List27, CATEGORY29: List29, CATEGORY31: List31
entity2	1.521744065232074	0.0	4.131511174150057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.966565114279571	0.0	0.0	0.0	1.5589808301409755	5.780206118347565	37.85484621461059	CATEGORY1: List1, CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9, CATEGORY11: List11, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	6.49819494452438	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.7501886947866865	0.0	0.0	0.0	0.0	5.8318139210357085	36.976036472807124	CATEGORY4: List4, CATEGORY9: List9, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY27: List27, CATEGORY29: List29, CATEGORY31: List31
entity6	0.0	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.984596483471598	0.0	0.0	0.0	1.5589865703354666	5.7630035174515175	36.9499880983608	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity4	1.521733345232074	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.8944396388976035	0.0	0.0	0.0	0.0	5.59097750849104	36.65055201972293	CATEGORY1: List1, CATEGORY4: List4, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity27	1.521733575232074	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	0.0	5.094807349072041	0.0	0.0	0.0	5.43615410042661	35.69609655183294	CATEGORY1: List1, CATEGORY5: List5, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity5	0.0	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	6.0386905918794	0.0	0.0	0.0	0.0	5.866219122827804	35.548311241809415	CATEGORY4: List4, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity11	0.0	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	6.02065922227151	0.0	0.0	0.0	0.0	5.659787912075231	35.323848661448956	CATEGORY4: List4, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity24	0.0	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	4.057161471192252	0.0	4.677760228030892	0.0	0.0	0.0	0.0	0.0	1.5589737601409754	5.522167104906849	34.78170386334229	CATEGORY3: List3, CATEGORY8: List8, CATEGORY9: List9, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity30	0.0	0.0	0.0	4.747562614641867	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.696094593031883	5.090757286419216	0.0	0.0	0.0	0.0	34.43025340655331	CATEGORY4: List4, CATEGORY5: List5, CATEGORY12: List12, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	6.0567219616259145	0.0	0.0	0.0	1.558988329719323	5.797408719243613	32.3089579230492	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.8764082703986364	0.0	0.0	0.0	1.5589760701409756	5.849016521931756	32.180239774931714	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.94853374522616	5.745508695116297	0.0	0.0	1.5589753801409756	0.0	32.14885673294378	CATEGORY4: List4, CATEGORY5: List5, CATEGORY8: List8, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
entity15	1.5217411152320741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0065096805586204	0.0	0.0	0.0	0.0	4.212999722408176	0.0	3.682347087243182	0.0	0.0	0.0	2.3162221942194745	0.0	0.0	4.677760228030892	0.0	5.912471007535179	0.0	0.0	0.0	0.0	5.504964504010801	31.835015539238398	CATEGORY1: List1, CATEGORY4: List4, CATEGORY9: List9, CATEGORY19: List19, CATEGORY23: List23, CATEGORY25: List25, CATEGORY29: List29, CATEGORY31: List31
