gene	List1	List10	List11	List2	List3	List4	List5	List6	List7	List8	List9	maic_score	contributors
entity8	0.0	1.219962326179833	1.992946446910703	0.0	0.0	2.56942648247997	2.3164599150311447	0.0	0.0	0.0	2.327947706608205	10.426742877209854	CATEGORY4: List4, CATEGORY5: List5, CATEGORY9: List9, CATEGORY10: List10, CATEGORY11: List11
entity2	1.2532602511091007	0.0	2.102272154500777	0.0	0.0	2.5328723161341964	0.0	0.0	0.0	1.2233327316074385	2.366480038711024	9.478217492062537	CATEGORY1: List1, CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9, CATEGORY11: List11
entity19	1.2464578433693019	1.219952056179833	2.055418279819317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1513505866251883	6.67317876599364	CATEGORY1: List1, CATEGORY9: List9, CATEGORY10: List10, CATEGORY11: List11
entity26	0.0	0.0	0.0	0.0	1.754605100487561	0.0	2.39154834514062	0.0	0.0	0.0	2.157928800721244	6.304082246349425	CATEGORY3: List3, CATEGORY5: List5, CATEGORY9: List9
entity1	0.0	0.0	0.0	0.0	0.0	2.5145952329643566	2.526081169730554	0.0	0.0	1.2233272816074385	0.0	6.264003684302349	CATEGORY4: List4, CATEGORY5: List5, CATEGORY8: List8
entity3	0.0	0.0	0.0	0.0	0.0	2.6242577320138674	0.0	0.0	0.0	1.2233401016074386	2.3743229499445686	6.221920783565874	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9
entity6	0.0	0.0	0.0	0.0	0.0	2.5511493993060674	0.0	0.0	0.0	1.2233384716074385	2.358682964709484	6.133170835622989	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9
entity12	0.0	0.0	0.0	0.0	0.0	2.4414869003053132	0.0	0.0	0.0	1.2233279716074386	2.398129409638787	6.062944281551538	CATEGORY4: List4, CATEGORY8: List8, CATEGORY9: List9
entity4	1.2464582969765483	0.0	0.0	0.0	0.0	2.4597639834670266	0.0	0.0	0.0	0.0	2.2831751039659913	5.989397384409566	CATEGORY1: List1, CATEGORY4: List4, CATEGORY9: List9
entity15	1.2468062574085332	0.0	0.0	0.0	0.0	2.4780410666307717	0.0	0.0	0.0	0.0	2.2470488261234145	5.97189615016272	CATEGORY1: List1, CATEGORY4: List4, CATEGORY9: List9
entity27	1.2464585606575347	0.0	0.0	0.0	0.0	0.0	2.3230685794390644	0.0	0.0	0.0	2.2189005232733554	5.788427663369955	CATEGORY1: List1, CATEGORY5: List5, CATEGORY9: List9
entity37	0.0	1.2199554761798328	0.0	0.0	0.0	0.0	2.3105001316378675	0.0	0.0	0.0	2.205071935536443	5.735527543354144	CATEGORY5: List5, CATEGORY9: List9, CATEGORY10: List10
entity23	0.0	0.0	0.0	0.0	1.7261408025117313	0.0	0.0	0.0	0.0	1.2233394116074385	2.350931460047676	5.300411674166845	CATEGORY3: List3, CATEGORY8: List8, CATEGORY9: List9
entity24	0.0	0.0	0.0	0.0	1.7602979600827269	0.0	0.0	0.0	0.0	1.2233256616074384	2.2541896283616962	5.237813250051861	CATEGORY3: List3, CATEGORY8: List8, CATEGORY9: List9
noise10274	1.2464569341659661	1.2199566061798328	0.0	0.0	0.0	0.0	0.0	0.0	1.39547267939186	1.2233260516074385	0.0	5.085212271345098	CATEGORY1: List1, CATEGORY7: List7, CATEGORY8: List8, CATEGORY10: List10
entity5	0.0	0.0	0.0	0.0	0.0	2.60598064883387	0.0	0.0	0.0	0.0	2.406158380359905	5.012139029193775	CATEGORY4: List4, CATEGORY9: List9
entity11	0.0	0.0	0.0	0.0	0.0	2.5877035656559046	0.0	0.0	0.0	0.0	2.312848209691455	4.90055177534736	CATEGORY4: List4, CATEGORY9: List9
entity36	0.0	1.219962396179833	0.0	0.0	0.0	0.0	0.0	0.0	1.295011453027215	0.0	2.343225258399003	4.858199107606051	CATEGORY7: List7, CATEGORY9: List9, CATEGORY10: List10
