gene	List1	List10	List2	List3	List4	List5	List6	List7	List8	List9	maic_score	contributors
entity18	2.507670681609813	1.3872272727217156	0.0	2.4551702835186573	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	8.439286631246777	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6, CATEGORY10: List10
entity22	2.5028512329591286	0.0	0.0	2.4535695890038625	0.0	0.0	0.0	0.0	2.7324038906079995	0.0	7.688824712570991	CATEGORY1: List1, CATEGORY3: List3, CATEGORY8: List8
entity26	2.3471354705374106	0.0	0.0	2.44556611642989	0.0	0.0	0.0	0.0	0.0	2.7186198090500766	7.511321396017378	CATEGORY1: List1, CATEGORY3: List3, CATEGORY9: List9
entity57	2.3848663799758283	0.0	0.0	2.3895418084120803	0.0	0.0	0.0	0.0	2.7324038906079995	0.0	7.5068120789959085	CATEGORY1: List1, CATEGORY3: List3, CATEGORY8: List8
entity33	2.246321252107785	0.0	0.0	2.440764032885506	0.0	0.0	0.0	0.0	2.7324038906079995	0.0	7.41948917560129	CATEGORY1: List1, CATEGORY3: List3, CATEGORY8: List8
entity47	2.242673654340701	0.0	0.0	2.415152920648793	0.0	0.0	0.0	0.0	0.0	2.7186198090500766	7.376446384039571	CATEGORY1: List1, CATEGORY3: List3, CATEGORY9: List9
entity45	2.2036102592203526	0.0	0.0	2.424757087737561	0.0	0.0	0.0	0.0	0.0	2.7186198090500766	7.346987156007991	CATEGORY1: List1, CATEGORY3: List3, CATEGORY9: List9
entity42	2.189875683613026	0.0	0.0	2.4103508371044096	0.0	0.0	0.0	0.0	2.7324038906079995	0.0	7.332630411325435	CATEGORY1: List1, CATEGORY3: List3, CATEGORY8: List8
entity2	2.4932772135217594	0.0	0.0	2.6601879892840126	0.0	1.9430378885557673	0.0	0.0	0.0	0.0	7.096503091361539	CATEGORY1: List1, CATEGORY3: List3, CATEGORY5: List5
entity6	2.5222599766733778	0.0	0.0	2.4791807012405758	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	7.090659071310542	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity7	2.4743859331996907	0.0	0.0	2.4727779231813973	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	7.036382249777677	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity8	2.469716036186297	0.0	0.0	2.4743786176961917	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	7.033313047279078	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity11	2.4558318194768143	0.0	0.0	2.4615730615778353	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	7.006623274451238	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity15	2.4376087572434844	0.0	0.0	2.469576534151808	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	6.996403684791881	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity38	2.4108817810766006	0.0	0.0	2.423156393222766	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	6.923256567695956	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity28	2.3763493615344298	0.0	0.0	2.4295591712819444	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	6.8951269262129635	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity19	2.5125118885096134	0.0	0.0	2.451968894489068	0.0	1.920741333122437	0.0	0.0	0.0	0.0	6.885222116121118	CATEGORY1: List1, CATEGORY3: List3, CATEGORY5: List5
entity36	2.228245610359391	0.0	0.0	2.434361254826328	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	6.751825258582308	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity51	2.2318284175255814	0.0	0.0	2.405548753560026	0.0	0.0	2.0892183933965893	0.0	0.0	0.0	6.726595564482196	CATEGORY1: List1, CATEGORY3: List3, CATEGORY6: List6
entity32	2.3934603168567685	1.3872272727217156	0.0	2.4327605603115336	0.0	0.0	0.0	0.0	0.0	0.0	6.213448149890017	CATEGORY1: List1, CATEGORY3: List3, CATEGORY10: List10
entity30	2.3637165248743193	1.3872272727217156	0.0	2.4359619493411224	0.0	0.0	0.0	0.0	0.0	0.0	6.186905746937158	CATEGORY1: List1, CATEGORY3: List3, CATEGORY10: List10
entity5	2.517374953448317	0.0	0.0	2.477580006725781	1.1494284057004571	0.0	0.0	0.0	0.0	0.0	6.144383365874555	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity13	2.4286194898453703	0.0	0.0	2.46317375609263	1.1489737385260697	0.0	0.0	0.0	0.0	0.0	6.04076698446407	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity9	2.397786350446146	0.0	0.0	2.4647744506074245	1.1461093353274274	0.0	0.0	0.0	0.0	0.0	6.008670136380998	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity46	2.433104012454978	0.0	0.0	2.4119515316192044	1.1466198025641263	0.0	0.0	0.0	0.0	0.0	5.991675346638309	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity40	2.3308496827857565	0.0	0.0	2.419955004193177	1.1461651353897386	0.0	0.0	0.0	0.0	0.0	5.896969822368672	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity60	2.3512528415329905	0.0	0.0	2.3927431974416695	1.1470021363244067	0.0	0.0	0.0	0.0	0.0	5.8909981752990666	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity49	2.3188258855252637	0.0	0.0	2.4007466700156423	1.1476180036788046	0.0	0.0	0.0	0.0	0.0	5.86719055921971	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity54	2.291392099939777	0.0	0.0	2.4039480590452316	1.1493684723001971	0.0	0.0	0.0	0.0	0.0	5.844708631285205	CATEGORY1: List1, CATEGORY3: List3, CATEGORY4: List4
entity3	2.483789040953357	0.0	0.0	2.4807813957677594	0.0	0.0	0.0	0.0	0.0	0.0	4.964570436721116	CATEGORY1: List1, CATEGORY3: List3
entity1	2.465067115330944	0.0	0.0	2.4823835677946673	0.0	0.0	0.0	0.0	0.0	0.0	4.947450683125611	CATEGORY1: List1, CATEGORY3: List3
entity10	2.4790769025740103	0.0	0.0	2.4679758396370137	0.0	0.0	0.0	0.0	0.0	0.0	4.947052742211024	CATEGORY1: List1, CATEGORY3: List3
entity21	2.498053443223349	0.0	0.0	2.4391633383707116	0.0	0.0	0.0	0.0	0.0	0.0	4.937216781594061	CATEGORY1: List1, CATEGORY3: List3
